postal_code,postal_code_score
3770,2.96068
3790,2.96068
3791,2.96068
3792,2.96068
3793,2.96068
3798,2.96068
3830,2.96068
3831,2.96068
3832,2.96068
3840,2.96068
3870,2.96068
3742,2.96068
9700,2.985
9160,2.99
9200,2.99
9150,2.99
9140,2.99
1030,2.99
9130,2.99
9190,2.99
9170,2.99
9112,2.99
9111,2.99
6700,3
6706,3
6782,3
6717,3
6780,3
6781,3
6630,3
6792,3
6791,3
6790,3
6704,3
9520,3.05
9521,3.05
9620,3.05
9551,3.05
9552,3.05
8630,3.05
9550,3.05
8660,3.05
9571,3.05
8691,3.05
9308,3.05
9310,3.05
9320,3.05
9340,3.05
9400,3.05
9401,3.05
9402,3.05
8690,3.05
9403,3.05
9406,3.05
9420,3.05
9450,3.05
9451,3.05
9470,3.05
9472,3.05
9506,3.05
9404,3.05
9473,3.05
2500,3.05
9572,3.05
9570,3.05
9630,3.05
9636,3.05
9661,3.05
9667,3.05
9680,3.05
9681,3.05
9688,3.05
9660,3.05
9750,3.05
9770,3.05
9771,3.05
9772,3.05
9790,3.05
9690,3.05
8620,3.06
8700,3.09
8710,3.09
8720,3.09
8740,3.09
8750,3.09
8780,3.09
8760,3.09
8850,3.09
8851,3.09
9120,3.09
8755,3.09
1500,3.1
3980,3.15
3971,3.15
3501,3.15
3600,3.15
3590,3.15
3510,3.15
3583,3.15
3582,3.15
3581,3.15
3580,3.15
3560,3.15
3550,3.15
3545,3.15
3540,3.15
3520,3.15
3512,3.15
3511,3.15
3668,3.15
3690,3.15
3803,3.15
3806,3.15
3850,3.15
3890,3.15
3891,3.15
3945,3.15
3970,3.15
3665,3.15
3530,3.19
3660,3.19
3650,3.19
8500,3.19
8790,3.19
3990,3.19
3960,3.19
3950,3.19
3941,3.19
3640,3.19
3940,3.19
3930,3.19
3920,3.19
3910,3.19
3900,3.19
3670,3.19
3680,3.19
2600,3.195
9290,3.25
1190,3.25
9280,3.25
9270,3.25
9250,3.25
9255,3.25
9220,3.25
9260,3.25
9230,3.25
9240,3.25
1800,3.27
3500,3.2884
2800,3.295
2490,3.34
2320,3.34
2310,3.34
2323,3.34
2290,3.34
2288,3.34
2280,3.34
2275,3.34
2321,3.34
2270,3.34
2260,3.34
2250,3.34
2235,3.34
2230,3.34
2200,3.34
2328,3.34
2330,3.34
2340,3.34
2480,3.34
2450,3.34
2440,3.34
2470,3.34
2431,3.34
2430,3.34
2491,3.34
2400,3.34
2382,3.34
2381,3.34
2380,3.34
2460,3.34
2360,3.34
2350,3.34
2387,3.34
2370,3.34
2322,3.34
2570,3.35
2220,3.35
2221,3.35
2222,3.35
2223,3.35
2560,3.35
2580,3.35
2590,3.35
2801,3.35
2812,3.35
8000,3.35
2811,3.35
2870,3.35
2820,3.35
2830,3.35
2860,3.35
2861,3.35
9890,3.35
2880,3.35
2890,3.35
8670,3.39
2845,3.4
2840,3.4
2630,3.4
2660,3.4
2650,3.4
2850,3.4
2640,3.4
2900,3.4
2550,3.4
2920,3.4
2940,3.4
2960,3.4
2627,3.4
2970,3.4
2980,3.4
2990,3.4
2910,3.4
2620,3.4
2390,3.4
2547,3.4
2020,3.4
2030,3.4
2040,3.4
2050,3.4
2070,3.4
2150,3.4
2160,3.4
2180,3.4
2110,3.4
2242,3.4
2243,3.4
2520,3.4
2530,3.4
2531,3.4
2540,3.4
2240,3.4
1300,3.5
9810,3.65
9070,3.65
9800,3.65
9930,3.65
9180,3.65
9090,3.65
9080,3.65
9052,3.65
9931,3.65
9050,3.65
9042,3.65
9041,3.65
9040,3.65
9032,3.65
9031,3.65
9030,3.65
9820,3.65
9051,3.65
9830,3.65
9185,3.65
9840,3.65
9910,3.65
9881,3.65
9880,3.65
9920,3.65
9950,3.65
9831,3.65
9921,3.65
9940,3.65
9860,3.65
9932,3.65
9850,3.65
9870,3.65
1210,3.69
1081,3.69
1160,3.69
1130,3.69
1120,3.69
1083,3.69
1082,3.69
1060,3.69
1170,3.69
3000,3.7
3191,3.75
3300,3.75
3294,3.75
3212,3.75
3211,3.75
3293,3.75
3290,3.75
3210,3.75
3473,3.75
3118,3.75
3111,3.75
3110,3.75
3080,3.75
3078,3.75
3071,3.75
3070,3.75
3061,3.75
3060,3.75
3054,3.75
3053,3.75
3052,3.75
3051,3.75
3050,3.75
3040,3.75
3020,3.75
3018,3.75
3012,3.75
3010,3.75
3001,3.75
3320,3.75
3321,3.75
3350,3.75
3360,3.75
3190,3.75
3150,3.75
3461,3.75
3460,3.75
3454,3.75
3450,3.75
3140,3.75
3440,3.75
3130,3.75
3404,3.75
3401,3.75
3200,3.75
3201,3.75
3471,3.75
3470,3.75
3472,3.75
3271,3.75
3400,3.75
3391,3.75
3202,3.75
3270,3.75
3128,3.75
3120,3.75
3390,3.75
3221,3.75
3384,3.75
3220,3.75
3381,3.75
3380,3.75
3370,3.75
3272,3.75
1301,3.795
1390,3.795
1450,3.795
1404,3.795
1421,3.795
1428,3.795
1430,3.795
1435,3.795
1440,3.795
1457,3.795
1402,3.795
1460,3.795
1470,3.795
1471,3.795
1472,3.795
1473,3.795
1474,3.795
1476,3.795
1490,3.795
1461,3.795
1495,3.795
1401,3.795
1380,3.795
1310,3.795
1315,3.795
1320,3.795
1325,3.795
1330,3.795
1331,3.795
1332,3.795
1340,3.795
1341,3.795
1342,3.795
1348,3.795
1350,3.795
1357,3.795
1360,3.795
1367,3.795
1370,3.795
2018,3.9
8200,3.95
8020,3.95
1501,3.95
1502,3.95
1547,3.95
1541,3.95
8210,3.95
1560,3.95
1540,3.95
8211,3.95
1910,3.95
8310,3.95
8340,3.95
8377,3.95
8380,3.95
8490,3.95
8730,3.95
1570,3.95
1420,3.95
8820,3.95
8301,3.95
1930,3.95
1600,3.95
1750,3.95
1601,3.95
1755,3.95
1760,3.95
3090,3.95
1982,3.95
1981,3.95
1980,3.95
1970,3.95
1950,3.95
1933,3.95
1932,3.95
1761,3.95
1745,3.95
1770,3.95
1785,3.95
1790,3.95
1820,3.95
1831,3.95
1840,3.95
1850,3.95
1851,3.95
1852,3.95
1853,3.95
1860,3.95
1861,3.95
1880,3.95
1780,3.95
1742,3.95
1830,3.95
1740,3.95
1630,3.95
1640,3.95
1650,3.95
1651,3.95
1741,3.95
1652,3.95
1653,3.95
1654,3.95
1671,3.95
1670,3.95
1602,3.95
1674,3.95
1700,3.95
1701,3.95
1702,3.95
1703,3.95
1730,3.95
1731,3.95
1673,3.95
1620,3.95
2950,3.965
9000,3.985
1000,4.06
1040,4.249
1200,4.4
2930,4.5
2000,4.9
1050,5.5
1150,5.95
1410,5.99
1180,6.19
8300,8.95
